col_name,long_name,unit,ID,vcoord,hcoord,var,tp_def,rel_to_tp,model,pvu,crit,var1,var2,tp_order
pressure_hPa,pressure,hPa,,p,,,,,MSMT,,,,,
temperature_K,temperature in celsius,K,MSMT,,,t,,,MSMT,,,,,
Theta,potential temperature,K,,pt,,,,,MSMT,,,,,
theta_K,potential temperature,K,,pt,,,,,MSMT,,,,,
tp_cpt_p_D,Pressure difference relative to cold point tropopause from EMAC,hPa,EMAC_calc,p,,,cpt,TRUE,EMAC,,,tpress,tropop_cpt,0
tp_cpt_pt,Potential temperature of cold point tropopause from EMAC,K,EMAC_calc,pt,,,cpt,FALSE,EMAC,,,e5vdiff_tpot,tropop_cpt_i,0
tp_cpt_pt_D,Potential temperature relative to cold point tropopause from EMAC,K,EMAC_calc,pt,,,cpt,TRUE,EMAC,,,e5vdiff_tpot_at_fl,tp_cpt_pt,0
tp_cpt_z,Geopotential height of cold point tropopause from EMAC,km,EMAC_calc,z,,,cpt,FALSE,EMAC,,,ECHAM5_height,tropop_cpt_i,0
tp_cpt_z_D,Geopoential height relative to cold point tropopause from EMAC,km,EMAC_calc,z,,,cpt,TRUE,EMAC,,,ECHAM5_height_at_fl,tp_cpt_z,0
tp_PV_p_D,Pressure difference relative to PV (3.5PVU) tropopause from EMAC,hPa,EMAC_calc,p,,,dyn,TRUE,EMAC,3.5,,tpress,tropop_tp_PV,0
tp_PV_pt,Potential temperature of PV (3.5PVU) tropopause from EMAC,K,EMAC_calc,pt,,,dyn,FALSE,EMAC,3.5,,e5vdiff_tpot,tropop_tp_PV_i,0
tp_PV_pt_D,Potential temperature relative to PV (3.5PVU) tropopause from EMAC,K,EMAC_calc,pt,,,dyn,TRUE,EMAC,3.5,,e5vdiff_tpot_at_fl,tp_PV_pt,0
tp_PV_z,Geopotential height of PV (3.5PVU) tropopause from EMAC,km,EMAC_calc,z,,,dyn,FALSE,EMAC,3.5,,ECHAM5_height,tropop_tp_PV_i,0
tp_PV_z_D,Geopoential height relative to PV (3.5PVU) tropopause from EMAC,km,EMAC_calc,z,,,dyn,TRUE,EMAC,3.5,,ECHAM5_height_at_fl,tp_PV_z,0
tp_WMO_p_D,Pressure difference relative to thermal (WMO) tropopause from EMAC,hPa,EMAC_calc,p,,,therm,TRUE,EMAC,,,tpress,tropop_tp_WMO,0
tp_WMO_pt,Potential temperature of thermal (WMO) tropopause from EMAC,K,EMAC_calc,pt,,,therm,FALSE,EMAC,,,e5vdiff_tpot,tropop_tp_WMO_i,0
tp_WMO_pt_D,Potential temperature relative to thermal (WMO) tropopause from EMAC,K,EMAC_calc,pt,,,therm,TRUE,EMAC,,,e5vdiff_tpot_at_fl,tp_WMO_pt,0
tp_WMO_z,Geopotential height of thermal (WMO) tropopause from EMAC,km,EMAC_calc,z,,,therm,FALSE,EMAC,,,ECHAM5_height,tropop_tp_WMO_i,0
tp_WMO_z_D,Geopoential height relative to thermal (WMO) tropopause from EMAC,km,EMAC_calc,z,,,therm,TRUE,EMAC,,,ECHAM5_height_at_fl,tp_WMO_z,0
